n_0,component,beta,volume,S,Z,betaE,betaF,betaOmega,betamu,dens,n,betapV,PE_n,betaF_n
118,0,1.372288015808758,512.0,281.5934815516793,-0.044395508474570605,-154.6064277970661,-436.1999093487454,5.238669999999331,-3.741004909735125,0.23046875,118.0,-5.238669999999331,-2.047838305084746,-3.696609401260554
119,0,1.372288015808758,512.0,282.1805103983372,-0.047998357142859764,-157.76243636014328,-439.9429467584805,5.711804500000312,-3.744997909735133,0.232421875,119.0,-5.711804500000312,-2.0591411764705883,-3.696999552592273
120,0,1.372288015808758,512.0,282.7705682577849,-0.05122253333335323,-160.9193369104308,-443.68990516821566,6.146704000002387,-3.7486384097351504,0.234375,120.0,-6.146704000002387,-2.0702610833333335,-3.6974158764017973
121,0,1.372288015808758,512.0,283.3661817780578,-0.05478382231406383,-164.074041799893,-447.4402235779508,6.628842500001724,-3.752636909735145,0.236328125,121.0,-6.628842500001724,-2.081183966942149,-3.697853087421081
122,0,1.372288015808758,512.0,283.9281454626897,-0.05854227049180465,-167.26703352499624,-451.19517898768595,7.142157000000168,-3.756863409735132,0.23828125,122.0,-7.142157000000168,-2.092156475409836,-3.6983211392433275
123,0,1.372288015808758,512.0,284.4847308176156,-0.06206880487805234,-170.46921957980544,-454.95395039742107,7.634463000000437,-3.760881409735134,0.240234375,123.0,-7.634463000000437,-2.1030050406504066,-3.698812604857082
124,0,1.372288015808758,512.0,285.02805322322024,-0.06546823387097242,-173.68888858393598,-458.7169418071562,8.11806100000058,-3.7647984097351355,0.2421875,124.0,-8.11806100000058,-2.1137813709677418,-3.699330175864163
125,0,1.372288015808758,512.0,285.56947303100117,-0.06883853199997066,-176.91407418589017,-462.48354721689134,8.604816499996332,-3.7687069097351014,0.244140625,125.0,-8.604816499996332,-2.12441744,-3.6998683777351307
126,0,1.372288015808758,512.0,286.1114318297799,-0.07218901587302545,-180.1429237968465,-466.2543556266264,9.095816000001207,-3.77262040973514,0.24609375,126.0,-9.095816000001207,-2.1349058730158728,-3.7004313938621145
127,0,1.372288015808758,512.0,286.63511291182647,-0.07533733070865818,-183.39367512453515,-470.0287880363616,9.56784099999959,-3.7763514097351276,0.248046875,127.0,-9.56784099999959,-2.145354803149606,-3.7010140790264696
