phase,mu_0,beta,volume,kT,density,omega,P
1,-2.001338958378783,0.8333333333333334,512.0,1.2,0.7474401311174167,-610.7963124430521,1.1929615477403361
1,-1.9944373665891453,0.8333333333333334,512.0,1.2,0.74770451647795,-613.4379466188363,1.1981209894899147
1,-1.987575241231033,0.8333333333333334,512.0,1.2,0.7479626832399596,-616.0653926787347,1.2032527200756538
1,-1.9807521334958165,0.8333333333333334,512.0,1.2,0.7482147552633706,-618.6787904603048,1.2083570126177827
1,-1.9739676021873183,0.8333333333333334,512.0,1.2,0.7484608568656274,-621.2782778603749,1.2134341364460448
1,-1.9672212135506226,0.8333333333333334,512.0,1.2,0.7487011125718716,-623.8639908798348,1.2184843571871773
1,-1.9605125411056705,0.8333333333333334,512.0,1.2,0.7489356468779742,-626.4360636663347,1.22350793684831
1,-1.9538411654854797,0.8333333333333334,512.0,1.2,0.7491645840269526,-628.9946285550143,1.2285051338965123
1,-1.9472066742788383,0.8333333333333334,512.0,1.2,0.7493880477991257,-631.5398161073672,1.2334762033347015
1,-1.9406086618773228,0.8333333333333334,512.0,1.2,0.7496061613162066,-634.0717551483514,1.2384213967741238
1,-1.934046729326497,0.8333333333333334,512.0,1.2,0.7498190468593792,-636.5905728018525,1.2433409625036183
1,-1.927520484181159,0.8333333333333334,512.0,1.2,0.7500268257012888,-639.0963945245959,1.2482351455558514
1,-1.9210295403645048,0.8333333333333334,512.0,1.2,0.750229617951767,-641.5893441386064,1.2531041877707156
1,-1.9145735180310766,0.8333333333333334,512.0,1.2,0.750427542417013,-644.0695438623085,1.2579483278560712
1,-1.9081520434333794,0.8333333333333334,512.0,1.2,0.7506207164718828,-646.5371143403516,1.2627678014459993
1,-1.9017647487920517,0.8333333333333334,512.0,1.2,0.7508092559448648,-648.9921746722458,1.2675628411567301
1,-1.8954112721694654,0.8333333333333334,512.0,1.2,0.7509932750152756,-651.4348424398842,1.2723336766403988
1,-1.889091257346661,0.8333333333333334,512.0,1.2,0.7511728861221604,-653.8652337340285,1.2770805346367744
1,-1.8828043537035037,0.8333333333333334,512.0,1.2,0.7513481998843566,-656.2834631798235,1.2818036390230927
1,-1.8765502161019627,0.8333333333333334,512.0,1.2,0.7515193250311567,-658.68964396141,1.2865032108621288
1,-1.870328504772416,0.8333333333333334,512.0,1.2,0.7516863683429903,-661.0838878456938,1.2911794684486206
1,-1.8641388852028902,0.8333333333333334,512.0,1.2,0.7518494346015364,-663.4663052053284,1.295832627354157
1,-1.8579810280311366,0.8333333333333334,512.0,1.2,0.7520086265486841,-665.8370050409652,1.3004629004706352
1,-1.8518546089394692,0.8333333333333334,512.0,1.2,0.7521640448537545,-668.1960950028214,1.3050704980523855
1,-1.8457593085522679,0.8333333333333334,512.0,1.2,0.7523157880884103,-670.5436814116068,1.3096556277570446
1,-1.8396948123360741,0.8333333333333334,512.0,1.2,0.7524639527086927,-672.8798692788592,1.314218494685272
1,-1.8336608105021985,0.8333333333333334,512.0,1.2,0.7526086330436442,-675.2047623267196,1.3187593014193741
1,-1.827656997911765,0.8333333333333334,512.0,1.2,0.7527499212899775,-677.5184630071889,1.3232782480609158
1,-1.8216830739831151,0.8333333333333334,512.0,1.2,0.752887907512301,-679.8210725208984,1.3277755322673797
1,-1.815738742601513,0.8333333333333334,512.0,1.2,0.753022679648396,-682.1126908354216,1.3322513492879329
1,-1.8098237120310672,0.8333333333333334,512.0,1.2,0.7531543235190992,-684.3934167031603,1.3367058919983599
1,-1.803937694828819,0.8333333333333334,512.0,1.2,0.7532829228423424,-686.6633476788254,1.3411393509352059
1,-1.798080407760925,0.8333333333333334,512.0,1.2,0.7534085592509316,-688.9225801365423,1.345551914329184
