n_0,component,beta,volume,S,Z,betaE,betaF,betaOmega,betamu,dens,n,betapV,PE_n,betaF_n
55,0,0.6666666666666666,512.0,243.58877351054025,0.8487262727272377,62.326332,-181.26244151054024,-46.67994499999807,-2.4469544820098577,0.107421875,55.0,46.67994499999807,-0.5501909454545454,-3.2956807547370954
56,0,0.6666666666666666,512.0,246.79522032588343,0.847990178571394,63.093119333333334,-183.7021009925501,-47.48744999999806,-2.432404482009858,0.109375,56.0,47.48744999999806,-0.5600057321428571,-3.2803946605812517
57,0,0.6666666666666666,512.0,249.97258514122663,0.8471208771929585,63.84533466666667,-186.12725047455996,-48.28588999999863,-2.4182694820098476,0.111328125,57.0,48.28588999999863,-0.5698596140350877,-3.265390359202806
58,0,0.6666666666666666,512.0,253.1239479565698,0.8463067241379032,64.585308,-188.5386399565698,-49.08578999999838,-2.404359482009852,0.11328125,58.0,49.08578999999838,-0.5796903103448277,-3.250666206147755
59,0,0.6666666666666666,512.0,256.25005143857965,0.8454933898305792,65.314082,-190.93596943857966,-49.88411000000417,-2.390709482009754,0.115234375,59.0,49.88411000000417,-0.5894724915254238,-3.2362028718403333
60,0,0.6666666666666666,512.0,259.34895292058934,0.8446565000000893,66.02889400000001,-193.3200589205893,-50.679390000005355,-2.3773444820097325,0.1171875,60.0,50.679390000005355,-0.59927765,-3.222000982009822
61,0,0.6666666666666666,512.0,262.4222090692658,0.8439590983605909,66.73155066666666,-195.69065840259913,-51.48150499999605,-2.3640844820098863,0.119140625,61.0,51.48150499999605,-0.6090602295081967,-3.2080435803704774
62,0,0.6666666666666666,512.0,265.46939455127574,0.8428217741935567,67.42116666666666,-198.04822788460908,-52.25495000000052,-2.3515044820098154,0.12109375,62.0,52.25495000000052,-0.6188427419354839,-3.194326256203372
63,0,0.6666666666666666,512.0,268.49330736661875,0.841737380952355,68.09964,-200.39366736661876,-53.029454999998364,-2.3391144820098475,0.123046875,63.0,53.029454999998364,-0.62858,-3.1808518629622027
64,0,0.6666666666666666,512.0,271.4921588486288,0.8413164062499852,68.765702,-202.72645684862877,-53.84424999999905,-2.3262844820098394,0.125,64.0,53.84424999999905,-0.638303859375,-3.1676008882598246
65,0,0.6666666666666666,512.0,274.46512766397177,0.8408080000000535,69.41889133333333,-205.04623633063844,-54.65252000000348,-2.3137494820097686,0.126953125,65.0,54.65252000000348,-0.6480255846153846,-3.154557482009822
66,0,0.6666666666666666,512.0,277.41299714598165,0.8400421212120829,70.05904133333334,-207.3539558126483,-55.44277999999747,-2.301684482009861,0.12890625,66.0,55.44277999999747,-0.6577490606060605,-3.141726603221944
67,0,0.6666666666666666,512.0,280.3366486279915,0.8391191044775805,70.68704333333334,-209.64960529465816,-56.220979999997894,-2.289979482009855,0.130859375,67.0,56.220979999997894,-0.6674542537313433,-3.129098586487435
68,0,0.6666666666666666,512.0,283.23422677666804,0.8385507352941547,71.300312,-211.93391477666802,-57.02145000000252,-2.278124482009787,0.1328125,68.0,57.02145000000252,-0.677199,-3.1166752173039414
69,0,0.6666666666666666,512.0,286.10908225867774,0.8380531884058515,71.903228,-214.20585425867773,-57.825670000003754,-2.266379482009768,0.134765625,69.0,57.825670000003754,-0.686886347826087,-3.104432670415619
70,0,0.6666666666666666,512.0,288.96048774068754,0.837321571428581,72.493814,-216.46667374068755,-58.61251000000067,-2.2550594820098127,0.13671875,70.0,58.61251000000067,-0.6965611285714286,-3.0923810534383938
71,0,0.6666666666666666,512.0,291.787409889364,0.8363171830985696,73.07143666666667,-218.71597322269736,-59.378519999998446,-2.244189482009844,0.138671875,71.0,59.378519999998446,-0.7062372535211268,-3.0805066651084134
72,0,0.6666666666666666,512.0,294.59136470470725,0.8351456944443645,73.636312,-220.95505270470724,-60.13048999999424,-2.233674482009903,0.140625,72.0,60.13048999999424,-0.7159101666666667,-3.0688201764542673
73,0,0.6666666666666666,512.0,297.3708515200505,0.8346763013698512,74.18752933333334,-223.18332218671716,-60.931369999999134,-2.222629482009836,0.142578125,73.0,60.931369999999134,-0.725598712328767,-3.0573057833796873
74,0,0.6666666666666666,512.0,300.1281310020603,0.834090675675756,74.72781933333334,-225.4003116687269,-61.72271000000595,-2.211859482009743,0.14453125,74.0,61.72271000000595,-0.7352469054054054,-3.045950157685499
75,0,0.6666666666666666,512.0,302.86409115073667,0.8332860666666743,75.25705,-227.60704115073665,-62.496455000000566,-2.2014744820098144,0.146484375,75.0,62.496455000000566,-0.7448589999999999,-3.0347605486764886
